,PDB ID,Antigen Name,Organism,PDB Name,All PDB ID,Length,Set,Sample weight
0,7e33_AB,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,homo sapiens | homo sapiens,serotonin 1e (5-ht1e) receptor-gi protein complex,7e33_AB,550,Fold 1,0.08333333333333333
1,7l56_C,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of the sars-cov-2 spike glycoprotein bound to fab 2- 43,7l56_C,994,Fold 1,0.003968253968253968
2,7l56_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of the sars-cov-2 spike glycoprotein bound to fab 2- 43,7l56_A,983,Fold 1,0.0021367521367521365
3,7l56_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of the sars-cov-2 spike glycoprotein bound to fab 2- 43,7l56_B,992,Fold 1,0.004273504273504273
4,7l57_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of the sars-cov-2 spike glycoprotein bound to fab 2- 15,7l57_B,979,Fold 1,0.05555555555555555
5,7l58_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of the sars-cov-2 spike glycoprotein bound to fab h4,7l58_B,1071,Fold 1,0.006944444444444444
6,7lxw_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2x333 local refinement,7lxw_A,96,Fold 1,0.25
7,7lxx_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2l28 local refinement,7lxx_A,119,Fold 1,0.25
8,7lxy_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2x333 global refinement,7lxy_A,1035,Fold 1,0.0023148148148148147
9,7lxy_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2x333 global refinement,7lxy_B,1035,Fold 1,0.0023148148148148147
10,7lxy_J,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2x333 global refinement,7lxy_J,1035,Fold 1,0.0023148148148148147
11,7lxz_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2l28 global refinement,7lxz_A,1060,Fold 1,0.0023148148148148147
12,7lxz_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2l28 global refinement,7lxz_B,1060,Fold 1,0.0023148148148148147
13,7lxz_K,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2l28 global refinement,7lxz_K,1060,Fold 1,0.0023148148148148147
14,7ly0_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2m28 local refinement,7ly0_A,131,Fold 1,0.5
15,7ly2_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2m28 global refinement,7ly2_A,1041,Fold 1,0.00308641975308642
16,7ly2_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2m28 global refinement,7ly2_B,1041,Fold 1,0.00308641975308642
17,7ly2_J,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 s/s2m11/s2m28 global refinement,7ly2_J,1041,Fold 1,0.00308641975308642
18,7ly3_A,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 s ntd bound to s2m28 fab,7ly3_A,284,Fold 1,0.03125
19,7ly3_B,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 s ntd bound to s2m28 fab,7ly3_B,282,Fold 1,0.03125
20,7jmo_A,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 receptor binding domain in complex with neutralizing antibody cova2-04,7jmo_A,193,Fold 1,0.000512295081967213
21,6zdh_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike glycoprotein in complex with a neutralizing antibody ey6a fab,6zdh_A,1002,Fold 1,0.0006613756613756612
22,7cwn_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,p17-h014 fab cocktail in complex with sars-cov-2 spike protein,7cwn_B,1070,Fold 1,0.006944444444444444
23,6mwx_N,e2,eastern equine encephalitis virus,cryoem structure of chimeric eastern equine encephalitis virus with fab of eeev-69 antibody,6mwx_N,325,Fold 1,0.025
24,1nca_N,influenza a subtype n9 neuraminidase,influenza a virus,refined crystal structure of the influenza virus n9 neuraminidase-nc41 fab complex,1nca_N,389,Fold 1,0.025
25,4ypg_D,interferon alpha-2,homo sapiens,structural insights into the neutralization properties of a human anti-interferon monoclonal antibody,4ypg_D,161,Fold 1,0.03125
26,6hga_B,interleukin-17 receptor c,homo sapiens,crystal structure of the human il-17rc d2-d3-d4 domains in complex with an anti-app tag fab,6hga_B,263,Fold 1,1.0
27,5bk2_B,maltose-binding periplasmic protein,escherichia coli,crystal structure of maltose binding protein in complex with a peristeric synthetic antibody,5bk2_B,367,Fold 1,0.0625
28,3w13_E,insulin receptor domains l1-cr,homo sapiens,insulin receptor ectodomain construct comprising domains l1-cr in complex with high-affinity insulin analogue [d-pro-b26]-dti-nh2  alphact peptide(693-719) and fab 83-7,3w13_E,288,Fold 1,0.027777777777777776
